time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2008-06-26T21:46:28.710Z,45.685,26.658,135,3.8,md,30,47.6,,,us,usp000ganj,2014-11-07T01:36:26.465Z,"Romania",earthquake,,,,,reviewed,buc,irsa
2008-06-24T10:12:44.290Z,45.662,26.561,96.1,2.6,m,6,115.3,,,us,usp000gaes,2014-11-07T01:36:25.480Z,"Romania",earthquake,,,,,reviewed,buc,buc
2008-06-22T13:35:45.650Z,44.604,21.59,5,3.4,ml,10,167.3,,,us,usp000gaam,2014-11-07T01:36:25.001Z,"Serbia",earthquake,,,,,reviewed,buc,buc
2008-06-20T06:32:32.240Z,46.026,26.785,100,3.2,md,13,95.4,,,us,usp000ga4z,2014-11-07T01:36:23.508Z,"Romania",earthquake,,,,,reviewed,buc,irsa
2008-06-18T16:01:21.940Z,45.778,27.148,24.5,2.5,ml,9,189.2,,,us,usp000ga0b,2014-11-07T01:36:22.926Z,"Romania",earthquake,,,,,reviewed,buc,buc
2008-06-10T17:13:32.290Z,45.652,26.654,131.2,3,m,8,115.9,,,us,usp000g951,2014-11-07T01:36:18.307Z,"Romania",earthquake,,,,,reviewed,buc,buc
2008-06-05T14:21:32.030Z,45.785,26.269,170,3.4,m,8,121,,,us,usp000g8my,2014-11-07T01:36:15.103Z,"Romania",earthquake,,,,,reviewed,buc,buc
2008-06-04T03:26:32.380Z,45.655,26.665,131,2.8,m,7,119.3,,,us,usp000g8h6,2014-11-07T01:36:14.399Z,"Romania",earthquake,,,,,reviewed,buc,buc
2008-05-31T13:59:28.320Z,45.626,26.785,120,3.2,m,7,122.7,,,us,usp000g87b,2014-11-07T01:36:08.512Z,"Romania",earthquake,,,,,reviewed,buc,buc
2008-05-31T04:32:43.400Z,45.679,26.524,143.4,3.6,mb,30,84.8,,0.91,us,usp000g865,2014-11-07T01:36:08.159Z,"Romania",earthquake,,5.1,,5,reviewed,us,us
2008-05-27T13:59:28.320Z,45.626,26.785,120,3.2,m,6,122.7,,,us,usp000g7ws,2014-11-07T01:36:06.994Z,"Romania",earthquake,,,,,reviewed,buc,buc
2008-05-27T04:32:43.660Z,45.626,26.556,150,3.7,m,9,91.2,,,us,usp000g7vp,2014-11-07T01:36:06.773Z,"Romania",earthquake,,,,,reviewed,buc,buc
2008-05-25T09:31:34.760Z,45.504,26.428,137.2,4,md,19,86.1,,,us,usp000g7r9,2014-11-07T01:36:06.163Z,"Romania",earthquake,,,,,reviewed,irsa,irsa
2008-05-15T04:29:56.310Z,45.022,25.766,30,3.1,ml,5,225.8,,,us,usp000g6tu,2014-11-07T01:36:00.627Z,"Romania",earthquake,,,,,reviewed,buc,buc
2008-05-08T01:38:41.760Z,45.545,26.385,150,3.4,m,10,68.1,,,us,usp000g5tw,2014-11-07T01:35:53.759Z,"Romania",earthquake,,,,,reviewed,buc,buc
2008-04-12T19:07:11.050Z,45.619,26.52,138.9,2.7,m,9,112.6,,,us,usp000g3sq,2014-11-07T01:35:36.441Z,"Romania",earthquake,,,,,reviewed,buc,buc
2008-04-07T10:56:08.210Z,45.668,26.607,137.9,3.1,m,13,61.7,,,us,usp000g39w,2014-11-07T01:35:33.035Z,"Romania",earthquake,,,,,reviewed,buc,buc
2008-03-30T17:32:43.520Z,45.25,24.83,5,2.8,ml,10,203.8,,,us,usp000g2r5,2014-11-07T01:35:21.389Z,"Romania",earthquake,,,,,reviewed,buc,buc
2008-03-27T11:51:02.940Z,45.628,26.595,132.4,2.8,m,6,119.2,,,us,usp000g2g0,2014-11-07T01:35:19.795Z,"Romania",earthquake,,,,,reviewed,buc,buc
2008-03-27T08:08:25.780Z,45.357,26.284,126.9,2.8,m,10,152.1,,,us,usp000g2fu,2014-11-07T01:35:19.749Z,"Romania",earthquake,,,,,reviewed,buc,buc
2008-03-21T16:19:00.210Z,45.79,27.125,23,4.1,ml,50,52.6,,,us,usp000g1zj,2014-11-07T01:35:17.475Z,"Romania",earthquake,,,,,reviewed,buc,buc
2008-03-16T23:31:55.350Z,45.385,26.272,150,3.2,md,14,81.9,,,us,usp000g1mz,2014-11-07T01:35:16.135Z,"Romania",earthquake,,,,,reviewed,buc,irsa
2008-03-05T23:21:14.490Z,45.586,26.499,150,3.5,md,12,71.8,,,us,usp000g0th,2014-11-07T01:35:11.627Z,"Romania",earthquake,,,,,reviewed,buc,irsa
2008-02-16T04:25:03.740Z,45.705,26.384,170,3.3,m,11,78.4,,,us,usp000fz0r,2014-11-07T01:34:57.471Z,"Romania",earthquake,,,,,reviewed,buc,buc
2008-02-11T03:31:31.310Z,45.589,26.576,103.8,3.8,mb,67,57.2,,,us,usp000fyn6,2014-11-07T01:34:55.892Z,"Romania",earthquake,,,,14,reviewed,buc,us
2008-02-09T08:38:49.700Z,45.518,26.45,143.1,3.9,md,16,63.3,,,us,usp000fygu,2014-11-07T01:34:55.289Z,"Romania",earthquake,,,,,reviewed,irsa,irsa
2008-01-30T13:09:30.790Z,45.626,26.499,150,3.9,mb,34,55.1,,,us,usp000fxsk,2014-11-07T01:34:47.101Z,"Romania",earthquake,,,,2,reviewed,buc,us
2008-01-28T02:56:21.500Z,45.555,26.489,10.9,3.6,ml,41,39.7,,,us,usp000fxky,2014-11-07T01:34:46.401Z,"Romania",earthquake,,,,,reviewed,buc,buc
2008-01-26T04:04:58.860Z,44.663,25.757,6.1,3.1,ml,16,141.8,,,us,usp000fxg2,2014-11-07T01:34:46.069Z,"Romania",earthquake,,,,,reviewed,buc,buc
2008-01-11T14:56:35.610Z,44.457,25.327,80,3.2,m,10,196.2,,,us,usp000fwfx,2014-11-07T01:34:40.294Z,"Romania",earthquake,,,,,reviewed,buc,buc
2008-01-08T19:26:36.550Z,45.567,26.59,128.9,2.5,m,6,128.4,,,us,usp000fw9a,2014-11-07T01:34:39.043Z,"Romania",earthquake,,,,,reviewed,buc,buc
2008-01-08T18:47:03.580Z,45.52,26.406,102.7,2.5,m,5,137.9,,,us,usp000fw97,2014-11-07T01:34:39.021Z,"Romania",earthquake,,,,,reviewed,buc,buc
2008-01-08T08:24:31.700Z,45.668,26.709,120.8,3.3,md,7,113.9,,,us,usp000fw84,2014-11-07T01:34:38.946Z,"Romania",earthquake,,,,,reviewed,buc,irsa
2008-01-06T09:31:18.820Z,45.617,26.532,126.8,3.2,md,8,120.6,,,us,usp000fw3b,2014-11-07T01:34:37.688Z,"Romania",earthquake,,,,,reviewed,buc,irsa
